Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
132825,12/21/2013 6:34,Embarcadero at Bryant,54,12/21/2013 6:36,Spear at Folsom,49,623,Subscriber,94105
132837,12/21/2013 7:23,Civic Center BART (7th at Market),72,12/21/2013 7:27,Market at 4th,76,367,Subscriber,94103
132840,12/21/2013 7:37,Steuart at Market,74,12/21/2013 7:39,Steuart at Market,74,535,Subscriber,94301
132847,12/21/2013 7:44,Grant Avenue at Columbus Avenue,73,12/21/2013 7:55,San Francisco Caltrain (Townsend at 4th),70,384,Subscriber,94133
132848,12/21/2013 7:51,Grant Avenue at Columbus Avenue,73,12/21/2013 8:05,San Francisco Caltrain (Townsend at 4th),70,434,Subscriber,94133
132849,12/21/2013 7:58,Harry Bridges Plaza (Ferry Building),50,12/21/2013 8:00,Davis at Jackson,42,550,Subscriber,94111
132850,12/21/2013 8:05,Embarcadero at Folsom,51,12/21/2013 8:11,2nd at South Park,64,631,Subscriber,94105
132851,12/21/2013 8:07,Harry Bridges Plaza (Ferry Building),50,12/21/2013 8:26,Harry Bridges Plaza (Ferry Building),50,341,Subscriber,94109
132852,12/21/2013 8:10,Davis at Jackson,42,12/21/2013 8:16,Embarcadero at Sansome,60,550,Subscriber,94111
132854,12/21/2013 8:25,Howard at 2nd,63,12/21/2013 8:32,Harry Bridges Plaza (Ferry Building),50,486,Subscriber,94105
132855,12/21/2013 8:28,Spear at Folsom,49,12/21/2013 8:33,Steuart at Market,74,437,Subscriber,94105
132856,12/21/2013 8:33,Commercial at Montgomery,45,12/21/2013 8:40,Powell Street BART,39,356,Subscriber,94111
132859,12/21/2013 8:36,Embarcadero at Bryant,54,12/21/2013 8:47,Embarcadero at Sansome,60,544,Subscriber,94105
132866,12/21/2013 8:49,Spear at Folsom,49,12/21/2013 8:55,Davis at Jackson,42,315,Subscriber,94105
132868,12/21/2013 8:54,2nd at South Park,64,12/21/2013 9:01,Market at 4th,76,602,Subscriber,94107
132869,12/21/2013 8:57,South Van Ness at Market,66,12/21/2013 9:12,Harry Bridges Plaza (Ferry Building),50,510,Subscriber,94110
132870,12/21/2013 9:15,Civic Center BART (7th at Market),72,12/21/2013 9:18,Powell Street BART,39,500,Subscriber,94103
132872,12/21/2013 9:21,Embarcadero at Bryant,54,12/21/2013 9:30,San Francisco Caltrain (Townsend at 4th),70,482,Subscriber,94105
132873,12/21/2013 9:22,2nd at South Park,64,12/21/2013 10:44,Golden Gate at Polk,59,332,Customer,49503
132874,12/21/2013 9:23,Clay at Battery,41,12/21/2013 9:33,Powell at Post (Union Square),71,636,Subscriber,94111
132875,12/21/2013 9:24,Cowper at University,37,12/21/2013 9:27,University and Emerson,35,112,Subscriber,94301
132876,12/21/2013 9:36,Park at Olive,38,12/21/2013 9:52,Palo Alto Caltrain Station,34,62,Customer,94304
132877,12/21/2013 9:40,Embarcadero at Bryant,54,12/21/2013 9:50,Beale at Market,56,546,Subscriber,95139
132878,12/21/2013 9:40,Embarcadero at Bryant,54,12/21/2013 9:50,Beale at Market,56,400,Subscriber,94105
132879,12/21/2013 9:41,2nd at Folsom,62,12/21/2013 9:49,Commercial at Montgomery,45,493,Subscriber,94105
132880,12/21/2013 9:42,Embarcadero at Vallejo,48,12/21/2013 9:54,2nd at Folsom,62,568,Subscriber,94107
132882,12/21/2013 9:45,California Ave Caltrain Station,36,12/21/2013 10:19,San Antonio Caltrain Station,29,85,Customer,90024
132883,12/21/2013 9:47,Powell Street BART,39,12/21/2013 12:04,Powell Street BART,39,525,Customer,94702
132884,12/21/2013 9:49,Harry Bridges Plaza (Ferry Building),50,12/21/2013 10:12,South Van Ness at Market,66,510,Subscriber,94110
132887,12/21/2013 9:51,Temporary Transbay Terminal (Howard at Beale),55,12/21/2013 10:17,Temporary Transbay Terminal (Howard at Beale),55,365,Subscriber,94608
